,bid,ask,time
0,1.1881,1.1874,3:04AM
0,1.1881,1.1874,3:05AM
0,1.1879,1.1872,3:06AM
0,1.1885,1.1878,3:07AM
0,1.1879,1.1872,3:08AM
0,1.1884,1.1876,3:09AM
0,1.1881,1.1874,3:10AM
0,1.1881,1.1874,3:11AM
0,1.1879,1.1872,3:12AM
0,1.1881,1.1874,3:13AM
0,1.1885,1.1878,3:14AM
0,1.1882,1.1875,3:15AM
0,1.1879,1.1872,3:16AM
0,1.1879,1.1872,3:18AM
0,1.1879,1.1872,3:19AM
0,1.1881,1.1874,3:20AM
0,1.1881,1.1874,3:21AM
0,1.1882,1.1875,3:22AM
0,1.1879,1.1872,3:23AM
0,1.1879,1.1872,3:24AM
0,1.1879,1.1872,3:25AM
0,1.1881,1.1874,3:26AM
0,1.1879,1.1872,3:27AM
0,1.1879,1.1872,3:28AM
0,1.1881,1.1874,3:29AM
0,1.1878,1.1871,3:30AM
0,1.1878,1.1871,3:31AM
0,1.1879,1.1872,3:32AM
0,1.1878,1.1871,3:33AM
0,1.1879,1.1872,3:34AM
0,1.1879,1.1872,3:35AM
0,1.1878,1.1871,3:36AM
0,1.1879,1.1872,3:37AM
0,1.1878,1.1871,3:38AM
0,1.1876,1.1869,3:39AM
0,1.1876,1.1869,3:40AM
0,1.1878,1.1871,3:41AM
0,1.1878,1.1871,3:42AM
0,1.1878,1.1871,3:43AM
0,1.1876,1.1869,3:44AM
0,1.1876,1.1869,3:45AM
0,1.1876,1.1869,3:46AM
0,1.1876,1.1869,3:47AM
0,1.1878,1.1871,3:48AM
0,1.1878,1.1871,3:49AM
0,1.1878,1.1871,3:50AM
0,1.1879,1.1872,3:51AM
0,1.1876,1.1869,3:52AM
0,1.1879,1.1872,3:53AM
0,1.1876,1.1869,3:54AM
0,1.1876,1.1869,3:55AM
0,1.1879,1.1872,3:56AM
0,1.1876,1.1869,3:57AM
0,1.1878,1.1871,3:58AM
0,1.1878,1.1871,3:59AM
0,1.1878,1.1871,4:00AM
0,1.1876,1.1869,4:01AM
0,1.1878,1.1871,4:02AM
0,1.1875,1.1868,4:03AM
0,1.1875,1.1868,4:04AM
0,1.1875,1.1868,4:05AM
0,1.1876,1.1869,4:06AM
0,1.1876,1.1869,4:07AM
0,1.1875,1.1868,4:08AM
0,1.1879,1.1872,4:09AM
0,1.1875,1.1868,4:10AM
0,1.1875,1.1868,4:11AM
0,1.1876,1.1869,4:12AM
0,1.1875,1.1868,4:13AM
0,1.1876,1.1869,4:14AM
0,1.1875,1.1868,4:15AM
0,1.1875,1.1868,4:16AM
0,1.1876,1.1869,4:17AM
0,1.1875,1.1868,4:18AM
0,1.1875,1.1868,4:19AM
0,1.1876,1.1869,4:20AM
0,1.1875,1.1868,4:21AM
0,1.1875,1.1868,4:22AM
0,1.1878,1.1871,4:23AM
0,1.1875,1.1868,4:24AM
0,1.1874,1.1867,4:26AM
0,1.1874,1.1867,4:27AM
0,1.1874,1.1867,4:28AM
0,1.1874,1.1867,4:29AM
0,1.1872,1.1865,4:30AM
0,1.1871,1.1864,4:31AM
0,1.1871,1.1864,4:32AM
0,1.1871,1.1864,4:33AM
0,1.1871,1.1864,4:34AM
0,1.1872,1.1865,4:35AM
0,1.1871,1.1864,4:36AM
0,1.1869,1.1862,4:37AM
0,1.1871,1.1864,4:38AM
0,1.1871,1.1864,4:39AM
0,1.1871,1.1864,4:40AM
0,1.1874,1.1867,4:41AM
0,1.1872,1.1865,4:42AM
0,1.1872,1.1865,4:43AM
0,1.1875,1.1868,4:44AM
0,1.1872,1.1865,4:45AM
0,1.1872,1.1865,4:46AM
0,1.1874,1.1867,4:47AM
0,1.1872,1.1865,4:48AM
0,1.1872,1.1865,4:49AM
0,1.1872,1.1865,4:50AM
0,1.1872,1.1865,4:51AM
0,1.1872,1.1865,4:52AM
0,1.1871,1.1864,4:53AM
0,1.1872,1.1865,4:54AM
0,1.1872,1.1865,4:55AM
0,1.1871,1.1864,4:56AM
0,1.1871,1.1864,4:57AM
0,1.1871,1.1864,4:58AM
0,1.1872,1.1865,4:59AM
